id-old,emoji ,name_en-US,name_ja-JP,id,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,hasTricks,category 1,category 2,category 3,canBeDraw,gameEndFactorException,scoringUnitCountName,priorityRecordContents,,is paralymic,競技人口 (世界),人気の国,個人競技/チーム競技,団体戦があるか,チーム・クラブの値になるか,競技の結果になるか,結果の基準,終了のタイミング,,メモ
cd526a16-63fd-42d5-a673-601c9f6425de,🤾,handball,ハンドボール,handball,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,handball,,,,,,,,,,,チーム,,TRUE,,得点,,,
54c4f166-7e7f-4e22-a206-76e57bc4d6cd,🏈,american football,アメリカンフットボール,american-football,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,american football,,,,,,,,,,,チーム,,TRUE,,得点,,,
53297151-8e06-4587-a224-112946a48a4b,🥍,lacrosse,ラクロス,lacrosse,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,lacrosse,,,,,,,,,,,チーム,,TRUE,,得点,,,
d6055a6a-1af1-47e0-81f7-a36ccc9381c5,🏏,cricket,クリケット,cricket,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,cricket,,,,,,,,,,,チーム,,TRUE,,得点,,,
6c09a11c-a3ab-4409-aa2a-76d1cc5fdefc,🏑,field hockey,フィールドホッケー,field-hockey,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,field hockey,,,,,,,,,,,チーム,,TRUE,,得点,,,
8b9d9436-daaa-4a12-855e-fb3121fa8176,🦵,sepak takraw,セパタクロー,sepak-takraw,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,sepak takraw,,,,,,,,,,,チーム,,TRUE,,得点,,,
3e42f2ce-7829-435f-83c9-6d6cd21b6044,⚽️,Sosaichi,ソサイチ,sosaichi,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,football,,,,,,,,,,,チーム,,TRUE,,得点,,,
86927440-9aea-4176-b879-696b3592b8d2,🏀,3x3,3x3,3x3,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,basketball,,,,,,,,,,,チーム,,TRUE,,得点,,,
da77b186-a0d5-42ef-a3a8-c3d8c9cca7c9,🥏,Ultimate,アルティメット,Ultimate,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,Ultimate,,,,,,,,,,,チーム,,TRUE,,得点,,,
586831ee-0806-4e2c-b8f3-cb61e0e151aa,🏐🏖️,beach volleyball,ビーチバレー,beach-volleyball,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,FALSE,volleyball,,,,,,,,,,,チーム,,TRUE,,得点,,,
57976158-81e8-4457-8569-073360864953,🗣️,kabaddi,カバディ,kabaddi,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,count,,FALSE,kabaddi,,,,,,,,,,,チーム,,TRUE,,得点,,,
df9b837c-8b7e-4d05-b81f-af65a247e0f6,🏃‍♂️‍➡️,track and field,陸上競技,track-and-field,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,FALSE,track and field,,,,,,,,,,,,,TRUE,,得点,,,陸上チームとして検索したい時のため。陸上部、かけっこ教室など。競技として残すべきと判断。水泳も同様
ffa5bb2c-7b20-4823-91b1-e9d5808fee9d,🏃‍♂️‍➡️,track and field Sprint,陸上短距離,taf-sprint,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,FALSE,track and field,,,,,,,,,,,,,TRUE,,得点,,,
4bfb75f3-e6a9-4b52-8465-bb6868d13a2f,🏃‍♂️‍➡️,track and field middle-distance,陸上中距離,taf-middle-distance,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,FALSE,track and field,,,,,,,,,,,,,TRUE,,得点,,,
